@relation 'MOA: -C 7'

@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute class0- {0,1}
@attribute class1- {0,1}
@attribute class2- {0,1}
@attribute class3- {0,1}
@attribute class4- {0,1}
@attribute class5- {0,1}
@attribute class6- {0,1}

@data
0.699036,0.7489,0.707841,0,1,1,0,0,0,0
0.491985,0.182301,0.280267,1,0,0,0,0,0,0
0.158516,0.642953,0.772504,0,0,0,1,0,0,0
0.346759,0.691636,0.770015,0,0,0,1,0,0,0
0.7983,0.757951,0.734119,0,1,1,0,0,0,0
0.677675,0.222719,0.257469,1,0,0,0,0,0,0
0.644021,0.754192,0.721661,0,1,1,0,0,0,0
0.567388,0.838461,0.594099,0,1,1,0,0,0,0
0.582116,0.770133,0.64799,0,1,1,0,0,0,0
0.503919,0.670676,0.708549,0,1,0,1,0,0,0
0.58685,0.743457,0.705678,0,1,1,0,0,0,0
0.393024,0.505722,0.347774,0,0,0,0,1,0,0
0.609788,0.824594,0.793289,0,1,1,0,0,0,0
0.14704,0.683261,0.721382,0,0,0,1,0,0,0
0.674269,0.797784,0.607977,0,1,1,0,0,0,0
0.144614,0.675781,0.728274,0,0,0,1,0,0,0
0.498269,0.534662,0.266223,0,0,0,0,1,0,0
0.486842,0.487981,0.320424,0,0,0,0,1,0,0
0.422798,0.746611,0.697635,0,1,0,1,0,0,0
0.451549,0.509388,0.272372,0,0,0,0,1,0,0
0.689051,0.761291,0.581254,0,1,1,0,0,0,0
0.428481,0.737351,0.692724,0,1,0,1,0,0,0
0.673057,0.805668,0.643424,0,1,1,0,0,0,0
0.773053,0.287528,0.274189,1,0,0,0,0,0,0
0.518761,0.440471,0.2056,0,0,0,0,1,0,0
0.607301,0.760714,0.705331,0,1,1,0,0,0,0
0.509227,0.286053,0.285019,1,0,0,0,0,0,0
0.511062,0.525079,0.251891,0,0,0,0,1,0,0
0.816151,0.269569,0.253184,1,0,0,0,0,0,0
0.39133,0.474903,0.318864,0,0,0,0,1,0,0
0.386768,0.623852,0.808728,0,0,0,1,0,0,0
0.741922,0.850345,0.601473,0,0,1,0,0,0,0
0.494791,0.525235,0.288496,0,0,0,0,1,0,0
0.689305,0.240973,0.307928,1,0,0,0,0,0,0
0.567168,0.784927,0.69235,0,1,1,0,0,0,0
0.595842,0.748264,0.701176,0,1,1,0,0,0,0
0.450485,0.519906,0.27533,0,0,0,0,1,0,0
0.668678,0.22023,0.246656,1,0,0,0,0,0,0
0.553612,0.671078,0.781942,0,1,0,0,0,0,0
0.480837,0.717456,0.848014,0,1,0,1,0,0,0
0.308503,0.716563,0.75402,0,0,0,1,0,0,0
0.343728,0.692348,0.758724,0,0,0,1,0,0,0
0.750653,0.177818,0.416099,1,0,0,0,0,0,0
0.68374,0.851544,0.606725,0,1,1,0,0,0,0
0.72191,0.340443,0.38461,1,0,0,0,0,0,0
0.617077,0.817832,0.704798,0,1,1,0,0,0,0
0.722476,0.784793,0.577087,0,1,1,0,0,0,0
0.565392,0.523262,0.290116,0,0,0,0,1,0,0
0.666529,0.793014,0.604786,0,1,1,0,0,0,0
0.522328,0.536875,0.279024,0,0,0,0,1,0,0
0.276404,0.67578,0.76716,0,0,0,1,0,0,0
0.674581,0.22656,0.250027,1,0,0,0,0,0,0
0.173446,0.615115,0.805688,0,0,0,1,0,0,0
0.575712,0.744667,0.592906,0,1,1,0,0,0,0
0.598252,0.736401,0.686996,0,1,1,0,0,0,0
0.386638,0.631202,0.743999,0,0,0,1,0,0,0
0.74583,0.675205,0.622874,0,1,1,0,0,0,0
0.68924,0.947726,0.578673,0,0,1,0,0,0,0
0.181664,0.756318,0.823767,0,0,0,1,0,0,0
0.459991,0.499146,0.255351,0,0,0,0,1,0,0
0.627212,0.658054,0.635976,0,1,1,0,0,0,0
0.556093,0.733618,0.693385,0,1,1,0,0,0,0
0.450634,0.492319,0.263591,0,0,0,0,1,0,0
0.618787,0.705822,0.700231,0,1,1,0,0,0,0
0.485303,0.627181,0.691232,0,1,0,1,0,0,0
0.319817,0.693506,0.757756,0,0,0,1,0,0,0
0.702549,0.178963,0.34866,1,0,0,0,0,0,0
0.598038,0.789188,0.56476,0,1,1,0,0,0,0
0.507005,0.831175,0.628645,0,1,1,0,0,0,0
0.654736,0.724467,0.597353,0,1,1,0,0,0,0
0.658241,0.793931,0.60601,0,1,1,0,0,0,0
0.437995,0.561415,0.287983,0,0,0,0,1,0,0
0.352983,0.690181,0.760127,0,0,0,1,0,0,0
0.200321,0.720065,0.769364,0,0,0,1,0,0,0
0.26936,0.721522,0.735424,0,0,0,1,0,0,0
0.600636,0.230994,0.228346,1,0,0,0,0,0,0
0.712514,0.814206,0.5728,0,1,1,0,0,0,0
0.620667,0.880746,0.538312,0,0,1,0,0,0,0
0.665682,0.790241,0.607376,0,1,1,0,0,0,0
0.346783,0.752185,0.730281,0,0,0,1,0,0,0
0.377625,0.582761,0.726174,0,0,0,1,0,0,0
0.788308,0.226891,0.233244,1,0,0,0,0,0,0
0.500852,0.497228,0.324833,0,0,0,0,1,0,0
0.363194,0.422114,0.379641,0,0,0,0,1,0,0
0.503887,0.430489,0.400961,0,0,0,0,1,0,0
0.747247,0.922135,0.650491,0,0,1,0,0,0,0
0.675069,0.811153,0.754788,0,1,1,0,0,0,0
0.608637,0.804678,0.680806,0,1,1,0,0,0,0
0.349022,0.43137,0.319343,0,0,0,0,1,0,0
0.71179,0.911804,0.641284,0,0,1,0,0,0,0
0.576826,0.747663,0.721812,0,1,1,0,0,0,0
0.618472,0.726062,0.680199,0,1,1,0,0,0,0
0.652028,0.258952,0.283952,1,0,0,0,0,0,0
0.475592,0.748326,0.621056,0,1,1,0,0,0,0
0.318152,0.704962,0.768787,0,0,0,1,0,0,0
0.581207,0.780905,0.604474,0,1,1,0,0,0,0
0.703794,0.786207,0.61415,0,1,1,0,0,0,0
0.550979,0.19705,0.216363,1,0,0,0,0,0,0
0.623223,0.713263,0.705249,0,1,1,0,0,0,0
0.214716,0.629918,0.857791,0,0,0,1,0,0,0
0.728347,0.82633,0.465836,0,0,1,0,0,0,0
0.497293,0.749433,0.551172,0,1,1,0,0,0,0
0.47984,0.516227,0.298023,0,0,0,0,1,0,0
0.331595,0.683552,0.763141,0,0,0,1,0,0,0
0.530065,0.565096,0.300428,0,0,0,0,1,0,0
0.576802,0.794018,0.491975,0,0,1,0,0,0,0
0.582578,0.172204,0.366303,1,0,0,0,0,0,0
0.278995,0.650096,0.7547,0,0,0,1,0,0,0
0.395258,0.678085,0.755674,0,0,0,1,0,0,0
0.585365,0.743502,0.704698,0,1,1,0,0,0,0
0.827165,0.798134,0.614823,0,0,1,0,0,0,0
0.529641,0.877208,0.598098,0,1,1,0,0,0,0
0.762616,0.265243,0.153791,1,0,0,0,0,0,0
0.541912,0.846318,0.588384,0,1,1,0,0,0,0
0.707887,0.748047,0.617582,0,1,1,0,0,0,0
0.202264,0.691684,0.777538,0,0,0,1,0,0,0
0.773479,0.865457,0.637676,0,0,1,0,0,0,0
0.268052,0.715713,0.830815,0,0,0,1,0,0,0
0.571968,0.84034,0.446106,0,0,1,0,0,0,0
0.574329,0.842134,0.657985,0,1,1,0,0,0,0
0.343644,0.815657,0.682146,0,0,0,1,0,0,0
0.483567,0.777162,0.752028,0,1,0,1,0,0,0
0.657825,0.814721,0.78581,0,1,1,0,0,0,0
0.837287,0.285218,0.220537,1,0,0,0,0,0,0
0.640173,0.275804,0.446386,1,0,0,0,0,0,0
0.504463,0.695093,0.809829,0,1,0,1,0,0,0
0.49396,0.813457,0.67403,0,1,1,0,0,0,0
0.406396,0.659368,0.866559,0,0,0,1,0,0,0
0.602421,0.74565,0.701819,0,1,1,0,0,0,0
0.843814,0.816236,0.573051,0,0,1,0,0,0,0
0.555564,0.733693,0.724549,0,1,1,0,0,0,0
0.711425,0.883546,0.756489,0,1,1,0,0,0,0
0.584546,0.769023,0.692851,0,1,1,0,0,0,0
0.320774,0.685608,0.754626,0,0,0,1,0,0,0
0.690871,0.803792,0.529861,0,0,1,0,0,0,0
0.652946,0.762566,0.556284,0,1,1,0,0,0,0
0.207351,0.655472,0.807466,0,0,0,1,0,0,0
0.394357,0.653013,0.794293,0,0,0,1,0,0,0
0.198041,0.577957,0.679871,0,0,0,1,0,0,0
0.630102,0.82371,0.739573,0,1,1,0,0,0,0
0.286266,0.676121,0.765586,0,0,0,1,0,0,0
0.570829,0.826277,0.534148,0,1,1,0,0,0,0
0.485024,0.779135,0.684441,0,1,1,0,0,0,0
0.522333,0.767484,0.692359,0,1,1,0,0,0,0
0.588885,0.768655,0.705914,0,1,1,0,0,0,0
0.410952,0.482664,0.107605,0,0,0,0,1,0,0
0.694463,0.664765,0.648716,0,1,1,0,0,0,0
0.587963,0.684929,0.695189,0,1,1,0,0,0,0
0.586718,0.176973,0.292893,1,0,0,0,0,0,0
0.775685,0.754235,0.707982,0,1,1,0,0,0,0
0.464776,0.761432,0.717097,0,1,0,1,0,0,0
0.179946,0.678617,0.760591,0,0,0,1,0,0,0
0.316398,0.528174,0.803608,0,0,0,1,0,0,0
0.606285,0.59021,0.251097,0,0,0,0,1,0,0
0.687559,0.723766,0.713271,0,1,1,0,0,0,0
0.401785,0.524047,0.296788,0,0,0,0,1,0,0
0.16444,0.672331,0.799307,0,0,0,1,0,0,0
0.42986,0.737856,0.694482,0,1,0,1,0,0,0
0.60309,0.686103,0.730657,0,1,1,0,0,0,0
0.446934,0.694688,0.73339,0,1,0,1,0,0,0
0.591022,0.758062,0.703285,0,1,1,0,0,0,0
0.66944,0.80614,0.593852,0,1,1,0,0,0,0
0.521199,0.465542,0.309734,0,0,0,0,1,0,0
0.46888,0.504092,0.295164,0,0,0,0,1,0,0
0.52116,0.583224,0.312171,0,0,0,0,1,0,0
0.700856,0.223313,0.249475,1,0,0,0,0,0,0
0.268897,0.69439,0.801178,0,0,0,1,0,0,0
0.750233,0.167186,0.263498,1,0,0,0,0,0,0
0.556235,0.780366,0.620192,0,1,1,0,0,0,0
0.518798,0.522277,0.203677,0,0,0,0,1,0,0
0.391198,0.790183,0.64013,0,0,0,1,0,0,0
0.5785,0.430596,0.231197,0,0,0,0,1,0,0
0.599333,0.142612,0.399088,1,0,0,0,0,0,0
0.746727,0.763087,0.562615,0,0,1,0,0,0,0
0.349839,0.650314,0.851735,0,0,0,1,0,0,0
0.449645,0.523884,0.297603,0,0,0,0,1,0,0
0.30358,0.678154,0.668787,0,0,0,1,0,0,0
0.374983,0.70461,0.750502,0,0,0,1,0,0,0
0.685477,0.68027,0.613496,0,1,1,0,0,0,0
0.781907,0.239419,0.264067,1,0,0,0,0,0,0
0.559353,0.454343,0.408918,0,0,0,0,1,0,0
0.723591,0.242509,0.30131,1,0,0,0,0,0,0
0.596031,0.743506,0.697192,0,1,1,0,0,0,0
0.739881,0.743485,0.705041,0,1,1,0,0,0,0
0.515923,0.77244,0.741842,0,1,1,0,0,0,0
0.328822,0.57266,0.286221,0,0,0,0,1,0,0
0.591205,0.801496,0.528169,0,1,1,0,0,0,0
0.324823,0.683924,0.76159,0,0,0,1,0,0,0
0.514886,0.740785,0.700548,0,1,1,0,0,0,0
0.583486,0.860398,0.748275,0,1,1,0,0,0,0
0.682535,0.688133,0.711349,0,1,1,0,0,0,0
0.609478,0.75279,0.700607,0,1,1,0,0,0,0
0.314939,0.68595,0.747178,0,0,0,1,0,0,0
0.561775,0.757881,0.733157,0,1,1,0,0,0,0
0.439213,0.652702,0.773188,0,1,0,1,0,0,0
0.428543,0.58609,0.316919,0,0,0,0,1,0,0
0.353177,0.685336,0.752783,0,0,0,1,0,0,0
0.363696,0.700438,0.77425,0,0,0,1,0,0,0
0.5291,0.508431,0.305461,0,0,0,0,1,0,0
0.483839,0.808019,0.612565,0,1,1,0,0,0,0
0.658708,0.744502,0.696438,0,1,1,0,0,0,0
0.594957,0.778046,0.605661,0,1,1,0,0,0,0
0.374941,0.672737,0.670358,0,0,0,1,0,0,0
0.726994,0.18822,0.353939,1,0,0,0,0,0,0
0.652342,0.502731,0.292059,0,0,0,0,1,0,0
0.450502,0.666261,0.638232,0,1,0,1,0,0,0
0.348556,0.683572,0.71613,0,0,0,1,0,0,0
0.419137,0.679739,0.759005,0,0,0,1,0,0,0
0.492,0.697807,0.75631,0,1,0,1,0,0,0
0.565131,0.865902,0.561118,0,1,1,0,0,0,0
0.62786,0.75971,0.733533,0,1,1,0,0,0,0
0.664262,0.205756,0.29391,1,0,0,0,0,0,0
0.560584,0.586045,0.333647,0,0,0,0,1,0,0
0.619205,0.246862,0.297097,1,0,0,0,0,0,0
0.372544,0.62426,0.757273,0,0,0,1,0,0,0
0.512768,0.13011,0.229124,1,0,0,0,0,0,0
0.713906,0.760593,0.632686,0,1,1,0,0,0,0
0.593142,0.74356,0.706322,0,1,1,0,0,0,0
0.600803,0.744668,0.703665,0,1,1,0,0,0,0
0.684682,0.77365,0.710241,0,1,1,0,0,0,0
0.406986,0.52445,0.298269,0,0,0,0,1,0,0
0.603531,0.813919,0.663104,0,1,1,0,0,0,0
0.579531,0.740891,0.712568,0,1,1,0,0,0,0
0.565298,0.844513,0.58505,0,1,1,0,0,0,0
0.246602,0.696691,0.6961,0,0,0,1,0,0,0
0.748388,0.715163,0.735393,0,1,1,0,0,0,0
0.431685,0.519861,0.286147,0,0,0,0,1,0,0
0.755087,0.32251,0.283054,1,0,0,0,0,0,0
0.600818,0.208991,0.289625,1,0,0,0,0,0,0
0.64358,0.761239,0.800786,0,1,1,0,0,0,0
0.433948,0.502963,0.287814,0,0,0,0,1,0,0
0.680742,0.239897,0.244524,1,0,0,0,0,0,0
0.712555,0.819237,0.606453,0,1,1,0,0,0,0
0.653478,0.783831,0.611787,0,1,1,0,0,0,0
0.31751,0.666437,0.75486,0,0,0,1,0,0,0
0.49928,0.539287,0.299724,0,0,0,0,1,0,0
0.676482,0.68937,0.530888,0,1,1,0,0,0,0
0.204487,0.684806,0.764178,0,0,0,1,0,0,0
0.644496,0.630905,0.788637,0,1,0,0,0,0,0
0.359176,0.749777,0.778712,0,0,0,1,0,0,0
0.465155,0.619498,0.32729,0,0,0,0,1,0,0
0.67988,0.140372,0.165609,1,0,0,0,0,0,0
0.479467,0.66628,0.726603,0,1,0,1,0,0,0
0.32281,0.617745,0.84816,0,0,0,1,0,0,0
0.783751,0.819513,0.608093,0,0,1,0,0,0,0
0.779421,0.848361,0.614541,0,0,1,0,0,0,0
0.579595,0.205373,0.163644,1,0,0,0,0,0,0
0.551842,0.237152,0.198968,1,0,0,0,0,0,0
0.511759,0.587527,0.252213,0,0,0,0,1,0,0
0.420227,0.555771,0.300183,0,0,0,0,1,0,0
0.663515,0.21844,0.253057,1,0,0,0,0,0,0
0.328651,0.580937,0.233697,0,0,0,0,1,0,0
0.600665,0.322374,0.195454,1,0,0,0,0,0,0
0.722066,0.184479,0.392174,1,0,0,0,0,0,0
0.717226,0.779926,0.676517,0,1,1,0,0,0,0
0.562261,0.743387,0.706774,0,1,1,0,0,0,0
0.470124,0.518002,0.287908,0,0,0,0,1,0,0
0.765522,0.131369,0.217604,1,0,0,0,0,0,0
0.555631,0.762052,0.69401,0,1,1,0,0,0,0
0.802983,0.26056,0.225543,1,0,0,0,0,0,0
0.592144,0.770315,0.660539,0,1,1,0,0,0,0
0.378557,0.63282,0.336816,0,0,0,0,1,0,0
0.801398,0.217195,0.286446,1,0,0,0,0,0,0
0.611733,0.499888,0.282938,0,0,0,0,1,0,0
0.281917,0.638465,0.911864,0,0,0,1,0,0,0
0.533527,0.749797,0.608908,0,1,1,0,0,0,0
0.591007,0.81364,0.526509,0,1,1,0,0,0,0
0.487522,0.514171,0.295856,0,0,0,0,1,0,0
0.666776,0.761273,0.594468,0,1,1,0,0,0,0
0.34006,0.477275,0.290563,0,0,0,0,1,0,0
0.598023,0.738419,0.700956,0,1,1,0,0,0,0
0.722576,0.831605,0.635002,0,1,1,0,0,0,0
0.844342,0.799557,0.595973,0,0,1,0,0,0,0
0.652317,0.222518,0.257132,1,0,0,0,0,0,0
0.753561,0.789398,0.597026,0,1,1,0,0,0,0
0.686688,0.519674,0.287458,0,0,0,0,1,0,0
0.221265,0.629556,0.732051,0,0,0,1,0,0,0
0.721053,0.822177,0.540076,0,0,1,0,0,0,0
0.644373,0.502644,0.297057,0,0,0,0,1,0,0
0.697706,0.634212,0.560689,0,0,1,0,0,0,0
0.674734,0.240536,0.265521,1,0,0,0,0,0,0
0.711906,0.162357,0.20955,1,0,0,0,0,0,0
0.692692,0.601209,0.61808,0,1,1,0,0,0,0
0.659667,0.845376,0.555717,0,1,1,0,0,0,0
0.345459,0.612645,0.386527,0,0,0,0,1,0,0
0.640526,0.778824,0.606659,0,1,1,0,0,0,0
0.786539,0.789282,0.570048,0,0,1,0,0,0,0
0.756678,0.817921,0.597566,0,0,1,0,0,0,0
0.559017,0.512837,0.290755,0,0,0,0,1,0,0
0.270992,0.797104,0.750973,0,0,0,1,0,0,0
0.659497,0.545997,0.228133,0,0,0,0,1,0,0
0.398992,0.692146,0.757799,0,0,0,1,0,0,0
0.490461,0.518372,0.289873,0,0,0,0,1,0,0
0.568127,0.921472,0.701954,0,1,1,0,0,0,0
0.491111,0.694158,0.666774,0,1,0,1,0,0,0
0.439574,0.691337,0.736043,0,1,0,1,0,0,0
0.49927,0.387307,0.278608,0,0,0,0,1,0,0
0.717931,0.849604,0.599731,0,1,1,0,0,0,0
0.63879,0.252003,0.25206,1,0,0,0,0,0,0
0.64248,0.204512,0.237046,1,0,0,0,0,0,0
0.527237,0.807845,0.649862,0,1,1,0,0,0,0
0.431162,0.502998,0.289667,0,0,0,0,1,0,0
0.554647,0.517915,0.265693,0,0,0,0,1,0,0
0.774117,0.690304,0.705416,0,1,1,0,0,0,0
0.403785,0.502503,0.228792,0,0,0,0,1,0,0
0.580276,0.512977,0.331348,0,0,0,0,1,0,0
0.405686,0.496712,0.298265,0,0,0,0,1,0,0
0.799261,0.748452,0.501974,0,0,1,0,0,0,0
0.687956,0.9047,0.479441,0,0,1,0,0,0,0
0.592722,0.23627,0.259717,1,0,0,0,0,0,0
0.493605,0.518584,0.296331,0,0,0,0,1,0,0
0.490764,0.514837,0.282923,0,0,0,0,1,0,0
0.575819,0.61165,0.759442,0,1,0,0,0,0,0
0.658555,0.461563,0.339919,0,0,0,0,1,0,0
0.345195,0.577609,0.723777,0,0,0,1,0,0,0
0.520828,0.533135,0.310345,0,0,0,0,1,0,0
0.319588,0.676007,0.739559,0,0,0,1,0,0,0
0.776537,0.254274,0.263195,1,0,0,0,0,0,0
0.822325,0.246122,0.271417,1,0,0,0,0,0,0
0.186174,0.712534,0.776277,0,0,0,1,0,0,0
0.494974,0.481209,0.338579,0,0,0,0,1,0,0
0.711751,0.232201,0.233761,1,0,0,0,0,0,0
0.717292,0.175927,0.274722,1,0,0,0,0,0,0
0.323235,0.682699,0.751456,0,0,0,1,0,0,0
0.588395,0.798513,0.602949,0,1,1,0,0,0,0
0.519354,0.196767,0.200033,1,0,0,0,0,0,0
0.482183,0.500082,0.2609,0,0,0,0,1,0,0
0.570674,0.312804,0.353152,1,0,0,0,0,0,0
0.652812,0.899742,0.574463,0,0,1,0,0,0,0
0.548479,0.679455,0.249433,0,0,0,0,1,0,0
0.404727,0.589915,0.813446,0,0,0,1,0,0,0
0.29694,0.628006,0.781534,0,0,0,1,0,0,0
0.384785,0.493552,0.224684,0,0,0,0,1,0,0
0.67673,0.21779,0.25354,1,0,0,0,0,0,0
0.686871,0.871062,0.633018,0,1,1,0,0,0,0
0.472956,0.509359,0.311576,0,0,0,0,1,0,0
0.732781,0.750829,0.497918,0,0,1,0,0,0,0
0.772786,0.927565,0.648365,0,0,1,0,0,0,0
0.517786,0.494728,0.290593,0,0,0,0,1,0,0
0.622591,0.255146,0.297406,1,0,0,0,0,0,0
0.841548,0.74391,0.542038,0,0,1,0,0,0,0
0.479364,0.521857,0.291572,0,0,0,0,1,0,0
0.768946,0.758879,0.672246,0,1,1,0,0,0,0
0.605502,0.733979,0.625207,0,1,1,0,0,0,0
0.659917,0.790927,0.606799,0,1,1,0,0,0,0
0.224416,0.686481,0.764683,0,0,0,1,0,0,0
0.279282,0.589927,0.645165,0,0,0,1,0,0,0
0.481544,0.15495,0.24218,1,0,0,0,0,0,0
0.787411,0.826918,0.557875,0,0,1,0,0,0,0
0.478511,0.511546,0.28044,0,0,0,0,1,0,0
0.425658,0.583853,0.772131,0,0,0,1,0,0,0
0.548313,0.768795,0.683987,0,1,1,0,0,0,0
0.602444,0.919354,0.60205,0,0,1,0,0,0,0
0.335398,0.68842,0.775179,0,0,0,1,0,0,0
0.540559,0.703089,0.858358,0,1,0,0,0,0,0
0.317581,0.681574,0.758872,0,0,0,1,0,0,0
0.539085,0.789152,0.59964,0,1,1,0,0,0,0
0.803859,0.725211,0.728184,0,0,1,0,0,0,0
0.666928,0.254974,0.25586,1,0,0,0,0,0,0
0.28281,0.717956,0.761907,0,0,0,1,0,0,0
0.654411,0.260994,0.270073,1,0,0,0,0,0,0
0.393128,0.526319,0.214356,0,0,0,0,1,0,0
0.426359,0.518484,0.287216,0,0,0,0,1,0,0
0.653995,0.212546,0.268022,1,0,0,0,0,0,0
0.652071,0.798108,0.6126,0,1,1,0,0,0,0
0.567025,0.267487,0.140488,1,0,0,0,0,0,0
0.553591,0.741739,0.705609,0,1,1,0,0,0,0
0.708261,0.813893,0.630511,0,1,1,0,0,0,0
0.668062,0.22746,0.257514,1,0,0,0,0,0,0
0.677252,0.755027,0.622229,0,1,1,0,0,0,0
0.505478,0.673008,0.611393,0,1,1,0,0,0,0
0.373479,0.720124,0.625709,0,0,0,1,0,0,0
0.382143,0.688001,0.767589,0,0,0,1,0,0,0
0.574575,0.781016,0.521823,0,1,1,0,0,0,0
0.424299,0.515348,0.301558,0,0,0,0,1,0,0
0.587115,0.750802,0.765161,0,1,1,0,0,0,0
0.685943,0.198234,0.414258,1,0,0,0,0,0,0
0.322161,0.469997,0.373924,0,0,0,0,1,0,0
0.706765,0.822088,0.594429,0,1,1,0,0,0,0
0.697835,0.720989,0.556288,0,1,1,0,0,0,0
0.504826,0.865483,0.65337,0,1,1,0,0,0,0
0.275057,0.732795,0.807368,0,0,0,1,0,0,0
0.305551,0.688878,0.754688,0,0,0,1,0,0,0
0.426816,0.484127,0.409745,0,0,0,0,1,0,0
0.468678,0.525044,0.305899,0,0,0,0,1,0,0
0.565904,0.748598,0.618953,0,1,1,0,0,0,0
0.648451,0.17053,0.252112,1,0,0,0,0,0,0
0.796486,0.894302,0.509767,0,0,1,0,0,0,0
0.77974,0.891147,0.663869,0,0,1,0,0,0,0
0.302334,0.672068,0.697335,0,0,0,1,0,0,0
0.693667,0.753864,0.6519,0,1,1,0,0,0,0
0.637858,0.720955,0.646455,0,1,1,0,0,0,0
0.641311,0.221477,0.198898,1,0,0,0,0,0,0
0.170592,0.735157,0.789665,0,0,0,1,0,0,0
0.65202,0.717067,0.737828,0,1,1,0,0,0,0
0.460796,0.543611,0.280568,0,0,0,0,1,0,0
0.664721,0.223028,0.256218,1,0,0,0,0,0,0
0.667939,0.78126,0.79853,0,1,1,0,0,0,0
0.347776,0.524787,0.293148,0,0,0,0,1,0,0
0.701537,0.089615,0.304786,1,0,0,0,0,0,0
0.746884,0.75721,0.694773,0,1,1,0,0,0,0
0.357572,0.639443,0.865502,0,0,0,1,0,0,0
0.472654,0.60362,0.817591,0,0,0,1,0,0,0
0.770245,0.937747,0.532723,0,0,1,0,0,0,0
0.529139,0.293678,0.238939,1,0,0,0,0,0,0
0.560361,0.570912,0.304575,0,0,0,0,1,0,0
0.298032,0.573497,0.292393,0,0,0,0,1,0,0
0.68284,0.806358,0.864819,0,1,0,0,0,0,0
0.537128,0.282044,0.344431,1,0,0,0,0,0,0
0.403255,0.460471,0.193475,0,0,0,0,1,0,0
0.708557,0.860015,0.755006,0,1,1,0,0,0,0
0.621539,0.780651,0.628708,0,1,1,0,0,0,0
0.759107,0.679709,0.758383,0,1,0,0,0,0,0
0.336003,0.676944,0.748087,0,0,0,1,0,0,0
0.535106,0.715031,0.699302,0,1,1,0,0,0,0
0.659267,0.743248,0.695846,0,1,1,0,0,0,0
0.430022,0.469045,0.422991,0,0,0,0,1,0,0
0.72815,0.202757,0.267092,1,0,0,0,0,0,0
0.683103,0.218479,0.268612,1,0,0,0,0,0,0
0.261637,0.700655,0.728626,0,0,0,1,0,0,0
0.644395,0.739936,0.643227,0,1,1,0,0,0,0
0.548647,0.673159,0.745846,0,1,0,0,0,0,0
0.327089,0.682139,0.755532,0,0,0,1,0,0,0
0.663326,0.805544,0.60569,0,1,1,0,0,0,0
0.557683,0.896697,0.820288,0,1,0,0,0,0,0
0.556527,0.47912,0.298912,0,0,0,0,1,0,0
0.374468,0.751663,0.880901,0,0,0,1,0,0,0
0.741029,0.74607,0.674942,0,1,1,0,0,0,0
0.778074,0.191766,0.220406,1,0,0,0,0,0,0
0.702791,0.710574,0.785633,0,1,0,0,0,0,0
0.778476,0.785092,0.741045,0,1,1,0,0,0,0
0.486303,0.612721,0.690552,0,1,0,1,0,0,0
0.675764,0.892538,0.603609,0,1,1,0,0,0,0
0.401427,0.67378,0.889125,0,0,0,1,0,0,0
0.421013,0.583658,0.784518,0,0,0,1,0,0,0
0.613916,0.721112,0.56819,0,1,1,0,0,0,0
0.284705,0.800987,0.608435,0,0,0,1,0,0,0
0.334672,0.432644,0.289479,0,0,0,0,1,0,0
