@relation 'MOA: -C 5'

@attribute a_5 numeric
@attribute a_6 numeric
@attribute class0- {0,1}
@attribute class1- {0,1}
@attribute class2- {0,1}
@attribute class3- {0,1}
@attribute class4- {0,1}

@data
0.360021,0.566751,1,0,0,0,0
0.735492,0.605907,0,1,1,0,0
0.47703,0.686424,1,0,0,0,0
0.74202,0.74221,0,1,1,0,0
0.778898,0.815865,0,1,1,0,0
0.692241,0.530005,0,0,1,0,0
0.671905,0.558404,1,0,1,0,0
0.612338,0.613038,1,0,1,0,0
0.817216,0.494238,0,0,1,0,0
0.814714,0.482046,0,0,1,0,0
0.553257,0.800565,1,0,0,0,0
0.766282,0.739897,0,1,1,0,0
0.669237,0.630926,1,1,1,0,0
0.831597,0.625585,0,1,1,0,0
0.680305,0.689761,1,1,1,0,0
0.78705,0.605378,0,1,1,0,0
0.627785,0.563927,1,0,1,0,0
0.896476,0.710132,0,1,1,0,0
0.793911,0.643715,0,1,1,0,0
0.707464,0.609475,0,1,1,0,0
0.636827,0.723305,1,1,1,0,0
0.459364,0.639432,1,0,0,0,0
0.736303,0.63728,0,1,1,0,0
0.368661,0.742392,1,0,0,0,0
0.547788,0.706426,1,0,0,0,0
0.774296,0.567605,0,1,1,0,0
0.749749,0.617593,0,1,1,0,0
0.580408,0.570995,1,0,1,0,0
0.44784,0.623875,1,0,0,0,0
0.758601,0.619313,0,1,1,0,0
0.54898,0.766093,1,0,0,0,0
0.78102,0.592821,0,1,1,0,0
0.845878,0.725755,0,1,1,0,0
0.501408,0.61603,1,0,0,0,0
0.354434,0.555682,1,0,0,0,0
0.358758,0.630092,1,0,0,0,0
0.829645,0.588818,0,1,1,0,0
0.716977,0.609862,0,1,1,0,0
0.637219,0.651199,1,1,1,0,0
0.504843,0.438025,1,0,0,0,0
0.747986,0.533436,0,0,1,0,0
0.929707,0.728576,0,1,0,0,0
0.612179,0.607319,1,0,1,0,0
0.796674,0.566548,0,1,1,0,0
0.841812,0.686606,0,1,1,0,0
0.456612,0.612883,1,0,0,0,0
0.484289,0.55526,1,0,0,0,0
0.629079,0.625305,1,1,1,0,0
0.861732,0.620033,0,1,1,0,0
0.544616,0.575885,1,0,0,0,0
0.695493,0.797562,0,1,1,0,0
0.782355,0.663889,0,1,1,0,0
0.774378,0.740445,0,1,1,0,0
0.734662,0.753677,0,1,1,0,0
0.673193,0.884445,0,1,0,0,0
0.645425,0.608149,1,1,1,0,0
0.754264,0.739081,0,1,1,0,0
0.498706,0.635742,1,0,0,0,0
0.608105,0.682541,1,1,1,0,0
0.465706,0.687011,1,0,0,0,0
0.64517,0.691328,1,1,1,0,0
0.764655,0.740557,0,1,1,0,0
0.695784,0.547972,0,0,1,0,0
0.577143,0.743215,1,1,0,0,0
0.751846,0.513863,0,0,1,0,0
0.650623,0.690209,1,1,1,0,0
0.588338,0.469581,1,0,0,0,0
0.594638,0.719559,1,1,1,0,0
0.472563,0.700464,1,0,0,0,0
0.330411,0.696836,1,0,0,0,0
0.769064,0.737676,0,1,1,0,0
0.768598,0.703485,0,1,1,0,0
0.55748,0.730587,1,0,0,0,0
0.856673,0.561955,0,1,1,0,0
0.783588,0.762079,0,1,1,0,0
0.653171,0.714609,1,1,1,0,0
0.489189,0.593431,1,0,0,0,0
0.851505,0.614826,0,1,1,0,0
0.836161,0.499599,0,0,1,0,0
0.632877,0.645522,1,1,1,0,0
0.933356,0.649227,0,1,1,0,0
0.411945,0.474504,1,0,0,0,0
0.494846,0.584731,1,0,0,0,0
0.581241,0.687867,1,1,1,0,0
0.544018,0.643404,1,0,0,0,0
0.681068,0.640749,1,1,1,0,0
0.944742,0.738384,0,1,0,0,0
0.34345,0.53044,1,0,0,0,0
0.718727,0.693388,0,1,1,0,0
0.766636,0.744032,0,1,1,0,0
0.67831,0.609854,1,1,1,0,0
0.574003,0.634438,1,0,1,0,0
0.573999,0.65653,1,0,1,0,0
0.609153,0.834041,0,1,0,0,0
0.586226,0.589433,1,0,1,0,0
0.787585,0.771628,0,1,1,0,0
0.45999,0.707673,1,0,0,0,0
0.676156,0.679142,1,1,1,0,0
0.331211,0.628632,1,0,0,0,0
0.770317,0.667046,0,1,1,0,0
0.41826,0.638677,1,0,0,0,0
0.500758,0.527834,1,0,0,0,0
0.585866,0.522615,1,0,1,0,0
0.764256,0.749327,0,1,1,0,0
0.529989,0.778454,1,0,0,0,0
0.487647,0.581971,1,0,0,0,0
0.400213,0.626318,1,0,0,0,0
0.511541,0.605588,1,0,0,0,0
0.467115,0.730495,1,0,0,0,0
0.708049,0.619231,0,1,1,0,0
0.856094,0.751056,0,1,1,0,0
0.431451,0.617194,1,0,0,0,0
0.766311,0.597981,0,1,1,0,0
0.432629,0.553284,1,0,0,0,0
0.488888,0.610232,1,0,0,0,0
0.702931,0.872303,0,1,0,0,0
0.723662,0.645233,0,1,1,0,0
0.791519,0.688523,0,1,1,0,0
0.569186,0.560835,1,0,1,0,0
0.499183,0.640488,1,0,0,0,0
0.404079,0.534313,1,0,0,0,0
0.678241,0.643944,1,1,1,0,0
0.772335,0.623437,0,1,1,0,0
0.695313,0.660833,0,1,1,0,0
0.356547,0.591551,1,0,0,0,0
0.487427,0.62418,1,0,0,0,0
0.760089,0.665045,0,1,1,0,0
0.382835,0.567588,1,0,0,0,0
0.346886,0.732975,1,0,0,0,0
0.787557,0.717801,0,1,1,0,0
0.763549,0.74041,0,1,1,0,0
0.631002,0.723161,1,1,1,0,0
0.595608,0.702443,1,1,1,0,0
0.7624,0.720439,0,1,1,0,0
0.924763,0.668156,0,1,1,0,0
0.903961,0.678354,0,1,1,0,0
0.782606,0.729307,0,1,1,0,0
0.451717,0.629961,1,0,0,0,0
0.924618,0.840325,0,1,0,0,0
0.832235,0.775868,0,1,1,0,0
0.763791,0.630925,0,1,1,0,0
0.390847,0.678886,1,0,0,0,0
0.634073,0.577612,1,0,1,0,0
0.755035,0.661519,0,1,1,0,0
0.796857,0.608306,0,1,1,0,0
0.697938,0.652038,0,1,1,0,0
0.789041,0.430591,0,0,1,0,0
0.878616,0.600206,0,1,1,0,0
0.851994,0.599208,0,1,1,0,0
0.357559,0.722993,1,0,0,0,0
0.78463,0.538008,0,1,1,0,0
0.792233,0.666394,0,1,1,0,0
0.754388,0.610914,0,1,1,0,0
0.542534,0.715585,1,0,0,0,0
0.905093,0.616455,0,1,1,0,0
0.65642,0.896136,0,1,0,0,0
0.429436,0.603762,1,0,0,0,0
0.833619,0.784933,0,1,1,0,0
0.827034,0.577896,0,1,1,0,0
0.797377,0.770349,0,1,1,0,0
0.7928,0.885211,0,1,0,0,0
0.77241,0.732805,0,1,1,0,0
0.953508,0.620282,0,0,1,0,0
0.661023,0.658511,1,1,1,0,0
0.757947,0.738511,0,1,1,0,0
0.618975,0.524388,1,0,1,0,0
0.752429,0.62281,0,1,1,0,0
0.808791,0.572058,0,1,1,0,0
0.509519,0.645145,1,0,0,0,0
0.533907,0.65844,1,0,0,0,0
0.77691,0.620143,0,1,1,0,0
0.726721,0.603555,0,1,1,0,0
0.770753,0.810514,0,1,1,0,0
0.669849,0.611425,1,1,1,0,0
0.397153,0.564521,1,0,0,0,0
0.672888,0.746183,0,1,1,0,0
0.772566,0.727086,0,1,1,0,0
0.867806,0.764072,0,1,1,0,0
0.654247,0.758763,0,1,1,0,0
0.715111,0.590149,0,1,1,0,0
0.724977,0.527771,0,0,1,0,0
0.760572,0.610284,0,1,1,0,0
0.848511,0.729261,0,1,1,0,0
0.922219,0.637005,0,1,1,0,0
0.753894,0.624386,0,1,1,0,0
0.670994,0.712943,1,1,1,0,0
0.757518,0.605192,0,1,1,0,0
0.871894,0.643066,0,1,1,0,0
0.681749,0.572801,1,1,1,0,0
0.762369,0.732317,0,1,1,0,0
0.693714,0.54777,0,0,1,0,0
0.559772,0.616698,1,0,1,0,0
0.47398,0.59987,1,0,0,0,0
0.733247,0.528532,0,0,1,0,0
0.598243,0.61473,1,0,1,0,0
0.867943,0.717582,0,1,1,0,0
0.794138,0.924609,0,1,0,0,0
0.663733,0.571776,1,1,1,0,0
0.599597,0.706523,1,1,1,0,0
0.522134,0.612731,1,0,0,0,0
0.473935,0.573406,1,0,0,0,0
0.873453,0.692122,0,1,1,0,0
0.910472,0.62278,0,1,1,0,0
0.564525,0.538619,1,0,0,0,0
0.82368,0.758442,0,1,1,0,0
0.767631,0.742225,0,1,1,0,0
0.483373,0.66058,1,0,0,0,0
0.75739,0.613526,0,1,1,0,0
0.749526,0.557846,0,1,1,0,0
0.827192,0.634592,0,1,1,0,0
0.865089,0.481753,0,0,1,0,0
0.922108,0.782514,0,1,0,0,0
0.787437,0.646787,0,1,1,0,0
0.878304,0.710579,0,1,1,0,0
0.530365,0.692718,1,0,0,0,0
0.684123,0.700299,0,1,1,0,0
0.592637,0.515067,1,0,1,0,0
0.618467,0.587451,1,0,1,0,0
0.683187,0.769459,0,1,1,0,0
0.886166,0.825101,0,1,0,0,0
0.331755,0.659334,1,0,0,0,0
0.937885,0.670955,0,1,1,0,0
0.772741,0.742266,0,1,1,0,0
0.694684,0.820322,0,1,0,0,0
0.816279,0.847132,0,1,0,0,0
0.738564,0.747252,0,1,1,0,0
0.456701,0.581117,1,0,0,0,0
0.402486,0.758346,1,0,0,0,0
0.39722,0.585194,1,0,0,0,0
0.913654,0.715241,0,1,1,0,0
0.845346,0.597893,0,1,1,0,0
0.730186,0.636263,0,1,1,0,0
0.746451,0.798147,0,1,1,0,0
0.649287,0.611766,1,1,1,0,0
0.759025,0.628796,0,1,1,0,0
0.380521,0.590846,1,0,0,0,0
0.62186,0.68595,1,1,1,0,0
0.739446,0.594685,0,1,1,0,0
0.717478,0.53859,0,0,1,0,0
0.696702,0.63988,0,1,1,0,0
0.685172,0.537387,0,0,1,0,0
0.467566,0.628545,1,0,0,0,0
0.4545,0.573721,1,0,0,0,0
0.839018,0.613105,0,1,1,0,0
0.543885,0.608111,1,0,0,0,0
0.803382,0.763771,0,1,1,0,0
0.758426,0.615386,0,1,1,0,0
0.71679,0.79678,0,1,1,0,0
0.839046,0.626244,0,1,1,0,0
0.744699,0.476926,0,0,1,0,0
0.755771,0.696282,0,1,1,0,0
0.717367,0.575858,0,1,1,0,0
0.313551,0.556689,1,0,0,0,0
0.45264,0.515029,1,0,0,0,0
0.881458,0.717988,0,1,1,0,0
0.858852,0.650435,0,1,1,0,0
0.928791,0.59491,0,0,1,0,0
0.719925,0.705826,0,1,1,0,0
0.466469,0.543268,1,0,0,0,0
0.73119,0.549109,0,1,1,0,0
0.651285,0.522194,1,0,1,0,0
0.791563,0.48726,0,0,1,0,0
0.749877,0.624912,0,1,1,0,0
0.669986,0.546877,1,0,1,0,0
0.355664,0.570014,1,0,0,0,0
0.874123,0.737333,0,1,1,0,0
0.533514,0.625204,1,0,0,0,0
0.715078,0.65467,0,1,1,0,0
0.499753,0.65478,1,0,0,0,0
0.609879,0.531986,1,0,1,0,0
0.791138,0.584846,0,1,1,0,0
0.39518,0.602965,1,0,0,0,0
0.486119,0.641453,1,0,0,0,0
0.830799,0.653617,0,1,1,0,0
0.877815,0.778882,0,1,1,0,0
0.824411,0.582774,0,1,1,0,0
0.561887,0.550944,1,0,0,0,0
0.819675,0.703274,0,1,1,0,0
0.507737,0.63144,1,0,0,0,0
0.4238,0.612308,1,0,0,0,0
0.568809,0.61397,1,0,1,0,0
0.711024,0.564647,0,1,1,0,0
0.805749,0.756806,0,1,1,0,0
0.708032,0.770814,0,1,1,0,0
0.747029,0.616835,0,1,1,0,0
0.717671,0.60088,0,1,1,0,0
0.814095,0.637098,0,1,1,0,0
0.758679,0.799286,0,1,1,0,0
0.500575,0.602067,1,0,0,0,0
0.794107,0.528425,0,0,1,0,0
0.692316,0.882372,0,1,0,0,0
0.509711,0.618667,1,0,0,0,0
0.809291,0.649405,0,1,1,0,0
0.822024,0.571011,0,1,1,0,0
0.47485,0.605599,1,0,0,0,0
0.665703,0.801961,0,1,0,0,0
0.574767,0.587508,1,0,1,0,0
0.693067,0.493715,0,0,1,0,0
0.876662,0.765297,0,1,1,0,0
0.764722,0.767166,0,1,1,0,0
0.638156,0.662371,1,1,1,0,0
0.634517,0.638125,1,1,1,0,0
0.907985,0.595167,0,1,1,0,0
0.794667,0.544438,0,1,1,0,0
0.48705,0.608382,1,0,0,0,0
0.552968,0.755237,1,0,0,0,0
0.751077,0.762261,0,1,1,0,0
0.80938,0.796573,0,1,1,0,0
0.745171,0.652264,0,1,1,0,0
0.443619,0.539804,1,0,0,0,0
0.755186,0.730603,0,1,1,0,0
0.758556,0.754294,0,1,1,0,0
0.726984,0.644562,0,1,1,0,0
0.805102,0.742112,0,1,1,0,0
0.722912,0.645861,0,1,1,0,0
0.463626,0.652711,1,0,0,0,0
0.808754,0.704193,0,1,1,0,0
0.534071,0.767602,1,0,0,0,0
0.691883,0.544595,0,0,1,0,0
0.383008,0.513492,1,0,0,0,0
0.865228,0.741105,0,1,1,0,0
0.900025,0.512103,0,0,1,0,0
0.881761,0.899441,0,1,0,0,0
0.771616,0.707048,0,1,1,0,0
0.81397,0.51327,0,0,1,0,0
0.647133,0.64205,1,1,1,0,0
0.647492,0.611681,1,1,1,0,0
0.85433,0.910008,0,1,0,0,0
0.761541,0.604737,0,1,1,0,0
0.549227,0.531293,1,0,0,0,0
0.856939,0.837297,0,1,0,0,0
0.780639,0.632792,0,1,1,0,0
0.733097,0.710775,0,1,1,0,0
0.534968,0.593819,1,0,0,0,0
0.694952,0.544523,0,0,1,0,0
0.556862,0.517616,1,0,0,0,0
0.885951,0.745712,0,1,1,0,0
0.549281,0.619528,1,0,0,0,0
0.789696,0.462126,0,0,1,0,0
0.876518,0.710034,0,1,1,0,0
0.584593,0.691978,1,1,1,0,0
0.557656,0.453308,1,0,0,0,0
0.711134,0.703846,0,1,1,0,0
0.449132,0.703061,1,0,0,0,0
0.631727,0.751771,1,1,1,0,0
0.592706,0.765816,1,1,0,0,0
0.663842,0.6833,1,1,1,0,0
0.7749,0.722027,0,1,1,0,0
0.848698,0.729408,0,1,1,0,0
0.665304,0.578625,1,1,1,0,0
0.867807,0.776806,0,1,1,0,0
0.773993,0.655525,0,1,1,0,0
0.631072,0.652537,1,1,1,0,0
0.739294,0.600616,0,1,1,0,0
0.74462,0.933498,0,1,0,0,0
0.715336,0.463855,0,0,1,0,0
0.61988,0.487805,1,0,1,0,0
0.376367,0.758604,1,0,0,0,0
0.836359,0.719727,0,1,1,0,0
0.793037,0.616221,0,1,1,0,0
0.606944,0.656024,1,1,1,0,0
0.730358,0.628308,0,1,1,0,0
0.785357,0.871464,0,1,0,0,0
0.887632,0.587828,0,1,1,0,0
0.841545,0.693614,0,1,1,0,0
0.650282,0.893251,0,1,0,0,0
0.809323,0.753855,0,1,1,0,0
0.783942,0.573248,0,1,1,0,0
0.424217,0.630632,1,0,0,0,0
0.520234,0.692784,1,0,0,0,0
0.429214,0.615459,1,0,0,0,0
0.970303,0.744424,0,1,0,0,0
0.761818,0.810904,0,1,1,0,0
0.798978,0.58363,0,1,1,0,0
0.955585,0.726123,0,1,0,0,0
0.927656,0.543351,0,0,1,0,0
0.60302,0.683911,1,1,1,0,0
0.681336,0.719055,0,1,1,0,0
0.841204,0.800779,0,1,1,0,0
0.593796,0.630217,1,0,1,0,0
0.488279,0.524272,1,0,0,0,0
0.81359,0.660557,0,1,1,0,0
0.819704,0.556925,0,1,1,0,0
0.322191,0.715504,1,0,0,0,0
0.789576,0.92169,0,1,0,0,0
0.802987,0.592752,0,1,1,0,0
0.510978,0.753394,1,0,0,0,0
0.740483,0.854425,0,1,0,0,0
0.731212,0.757159,0,1,1,0,0
0.534844,0.661027,1,0,0,0,0
0.934169,0.735957,0,1,0,0,0
0.485788,0.623817,1,0,0,0,0
0.791483,0.641063,0,1,1,0,0
0.701662,0.562235,0,1,1,0,0
0.462689,0.656749,1,0,0,0,0
0.864018,0.814921,0,1,0,0,0
0.723389,0.707988,0,1,1,0,0
0.619768,0.734265,1,1,1,0,0
0.665763,0.749318,0,1,1,0,0
0.510775,0.586006,1,0,0,0,0
0.76494,0.732417,0,1,1,0,0
0.520318,0.634459,1,0,0,0,0
0.746332,0.495233,0,0,1,0,0
0.446473,0.571034,1,0,0,0,0
0.610759,0.777556,1,1,0,0,0
0.647897,0.477834,0,0,1,0,0
0.789703,0.859306,0,1,0,0,0
0.467342,0.599297,1,0,0,0,0
0.485995,0.628694,1,0,0,0,0
0.831204,0.653195,0,1,1,0,0
0.523377,0.445166,1,0,0,0,0
0.764086,0.651892,0,1,1,0,0
0.799745,0.679426,0,1,1,0,0
0.762312,0.636877,0,1,1,0,0
0.539657,0.720571,1,0,0,0,0
0.578977,0.715799,1,1,0,0,0
0.900917,0.865221,0,1,0,0,0
0.636491,0.610908,1,1,1,0,0
0.820232,0.630435,0,1,1,0,0
0.549049,0.463937,1,0,0,0,0
0.768112,0.704068,0,1,1,0,0
0.900169,0.658013,0,1,1,0,0
0.761997,0.623672,0,1,1,0,0
0.76097,0.754785,0,1,1,0,0
0.468642,0.484802,1,0,0,0,0
0.796379,0.618489,0,1,1,0,0
0.797253,0.799821,0,1,1,0,0
0.512223,0.593151,1,0,0,0,0
0.748994,0.604257,0,1,1,0,0
0.781868,0.717977,0,1,1,0,0
0.407799,0.615356,1,0,0,0,0
0.302499,0.578489,1,0,0,0,0
0.785949,0.707802,0,1,1,0,0
