@relation 'MOA: -C 7'

@attribute a_7 numeric
@attribute a_8 numeric
@attribute class0- {0,1}
@attribute class1- {0,1}
@attribute class2- {0,1}
@attribute class3- {0,1}
@attribute class4- {0,1}
@attribute class5- {0,1}
@attribute class6- {0,1}

@data
0.590699,0.62858,1,0,1,0,0,0,0
0.609667,0.606016,1,0,1,0,0,0,0
0.852137,0.846489,0,1,0,0,0,0,0
0.496594,0.612472,1,0,1,0,0,0,0
0.195446,0.187351,0,0,0,0,1,0,0
0.52633,0.485537,1,0,1,0,0,0,0
0.885304,0.840386,0,1,0,0,0,0,0
0.747509,0.822216,0,1,0,0,0,0,0
0.727126,0.82586,0,1,0,0,0,0,0
0.40325,0.211244,0,0,0,1,0,0,0
0.331484,0.310292,0,0,0,1,1,0,0
0.502848,0.630678,1,0,1,0,0,0,0
0.340917,0.231367,0,0,0,1,1,0,0
0.315743,0.257241,0,0,0,1,1,0,0
0.529864,0.668631,1,0,1,0,0,0,0
0.355318,0.321039,0,0,0,1,1,0,0
0.4318,0.323029,0,0,0,1,0,0,0
0.512749,0.694064,1,0,1,0,0,0,0
0.219911,0.264274,0,0,0,1,1,0,0
0.560626,0.574047,1,0,1,0,0,0,0
0.232681,0.191927,0,0,0,0,1,0,0
0.110655,0.139366,0,0,0,0,1,0,0
0.334105,0.341194,0,0,0,1,1,0,0
0.38592,0.392682,0,0,0,1,0,0,0
0.384584,0.324768,0,0,0,1,0,0,0
0.154598,0.301938,0,0,0,0,1,0,0
0.591506,0.647642,1,0,1,0,0,0,0
0.924707,0.819809,0,1,0,0,0,0,0
0.488419,0.737848,1,0,1,0,0,0,0
0.81921,0.830322,0,1,0,0,0,0,0
0.218543,0.169189,0,0,0,0,1,0,0
0.366365,0.386318,0,0,0,1,0,0,0
0.45976,0.393702,0,0,0,1,0,0,0
0.415396,0.544549,1,0,0,0,0,0,0
0.806287,0.832543,0,1,0,0,0,0,0
0.446116,0.66264,1,0,1,0,0,0,0
0.37334,0.337574,0,0,0,1,0,0,0
0.48362,0.725413,1,0,1,0,0,0,0
0.557817,0.626454,1,0,1,0,0,0,0
0.356282,0.566352,1,0,0,0,0,0,0
0.764237,0.779657,0,1,0,0,0,0,0
0.493318,0.655263,1,0,1,0,0,0,0
0.680724,0.708427,0,0,1,0,0,0,0
0.709142,0.713561,0,1,0,0,0,0,0
0.554875,0.657439,1,0,1,0,0,0,0
0.781854,0.960589,0,1,0,0,0,0,0
0.161802,0.225399,0,0,0,0,1,0,0
0.908563,0.731755,0,1,0,0,0,0,0
0.855354,0.717762,0,1,0,0,0,0,0
0.577159,0.737534,1,0,1,0,0,0,0
0.575003,0.637124,1,0,1,0,0,0,0
0.123115,0.349989,0,0,0,0,1,0,0
0.526615,0.645469,1,0,1,0,0,0,0
0.855697,0.808714,0,1,0,0,0,0,0
0.668012,0.567136,0,0,1,0,0,0,0
0.415558,0.678189,1,0,1,0,0,0,0
0.350719,0.272423,0,0,0,1,1,0,0
0.939763,0.884094,0,1,0,0,0,0,0
0.193041,0.400614,0,0,0,0,1,0,0
0.767973,0.755245,0,1,0,0,0,0,0
0.793984,0.759554,0,1,0,0,0,0,0
0.437734,0.338911,0,0,0,1,0,0,0
0.365943,0.276453,0,0,0,1,1,0,0
0.291635,0.34047,0,0,0,1,1,0,0
0.231307,0.350086,0,0,0,1,1,0,0
0.44227,0.51388,1,0,0,0,0,0,0
0.532847,0.722207,1,0,1,0,0,0,0
0.264758,0.11988,0,0,0,0,1,0,0
0.513084,0.479908,1,0,1,0,0,0,0
0.707958,0.88461,0,1,0,0,0,0,0
0.433595,0.627797,1,0,1,0,0,0,0
0.444557,0.313787,0,0,0,1,0,0,0
0.598257,0.66632,1,0,1,0,0,0,0
0.824083,0.739217,0,1,0,0,0,0,0
0.507883,0.713251,1,0,1,0,0,0,0
0.391228,0.513171,1,0,0,0,0,0,0
0.456824,0.653912,1,0,1,0,0,0,0
0.207558,0.254348,0,0,0,1,1,0,0
0.717728,0.865032,0,1,0,0,0,0,0
0.493072,0.631874,1,0,1,0,0,0,0
0.745631,0.733986,0,1,0,0,0,0,0
0.456529,0.756461,1,0,0,0,0,0,0
0.319545,0.254665,0,0,0,1,1,0,0
0.490704,0.704211,1,0,1,0,0,0,0
0.798571,0.743789,0,1,0,0,0,0,0
0.34641,0.192134,0,0,0,1,1,0,0
0.493687,0.565936,1,0,1,0,0,0,0
0.597473,0.64583,1,0,1,0,0,0,0
0.487222,0.625788,1,0,1,0,0,0,0
0.238525,0.349563,0,0,0,1,1,0,0
0.221331,0.274605,0,0,0,1,1,0,0
0.328947,0.185097,0,0,0,1,1,0,0
0.30745,0.269032,0,0,0,1,1,0,0
0.210949,0.228827,0,0,0,0,1,0,0
0.583291,0.605091,1,0,1,0,0,0,0
0.333634,0.286764,0,0,0,1,1,0,0
0.540534,0.628911,1,0,1,0,0,0,0
0.485727,0.621205,1,0,1,0,0,0,0
0.807356,0.828975,0,1,0,0,0,0,0
0.789313,0.874939,0,1,0,0,0,0,0
0.147548,0.30326,0,0,0,0,1,0,0
0.956591,0.825673,0,1,0,0,0,0,0
0.56473,0.555814,1,0,1,0,0,0,0
0.532523,0.49036,1,0,1,0,0,0,0
0.321549,0.164047,0,0,0,0,1,0,0
0.844855,0.817688,0,1,0,0,0,0,0
0.33404,0.416133,0,0,0,1,0,0,0
0.71516,0.725471,0,1,0,0,0,0,0
0.53918,0.653659,1,0,1,0,0,0,0
0.653556,0.583046,0,0,1,0,0,0,0
0.5832,0.61316,1,0,1,0,0,0,0
0.108168,0.294689,0,0,0,0,1,0,0
0.615448,0.555433,1,0,1,0,0,0,0
0.523519,0.641995,1,0,1,0,0,0,0
0.825523,0.884547,0,1,0,0,0,0,0
0.489038,0.670849,1,0,1,0,0,0,0
0.499412,0.655627,1,0,1,0,0,0,0
0.452241,0.323298,0,0,0,1,0,0,0
0.494395,0.766285,1,0,1,0,0,0,0
0.465927,0.319163,0,0,0,1,0,0,0
0.525353,0.513495,1,0,1,0,0,0,0
0.385935,0.332689,0,0,0,1,0,0,0
0.088263,0.270759,0,0,0,0,1,0,0
0.366026,0.427526,0,0,0,1,0,0,0
0.37578,0.728265,1,0,0,0,0,0,0
0.36477,0.22502,0,0,0,1,1,0,0
0.467805,0.647648,1,0,1,0,0,0,0
0.374115,0.623576,1,0,0,0,0,0,0
0.413177,0.204738,0,0,0,1,0,0,0
0.32332,0.405021,0,0,0,1,0,0,0
0.492024,0.629136,1,0,1,0,0,0,0
0.439338,0.600411,1,0,1,0,0,0,0
0.487346,0.624343,1,0,1,0,0,0,0
0.223487,0.263113,0,0,0,1,1,0,0
0.326428,0.136449,0,0,0,0,1,0,0
0.220824,0.117586,0,0,0,0,1,0,0
0.559195,0.676673,1,0,1,0,0,0,0
0.817787,0.749669,0,1,0,0,0,0,0
0.807862,0.930824,0,1,0,0,0,0,0
0.485963,0.729943,1,0,1,0,0,0,0
0.473894,0.532804,1,0,1,0,0,0,0
0.500319,0.592974,1,0,1,0,0,0,0
0.86756,0.924744,0,1,0,0,0,0,0
0.409816,0.604414,1,0,1,0,0,0,0
0.200762,0.25575,0,0,0,1,1,0,0
0.234348,0.347921,0,0,0,1,1,0,0
0.538809,0.563435,1,0,1,0,0,0,0
0.559887,0.734294,1,0,1,0,0,0,0
0.405577,0.29454,0,0,0,1,0,0,0
0.412011,0.655559,1,0,1,0,0,0,0
0.869235,0.722628,0,1,0,0,0,0,0
0.205939,0.350618,0,0,0,1,1,0,0
0.135628,0.281509,0,0,0,0,1,0,0
0.19449,0.229232,0,0,0,0,1,0,0
0.375846,0.217314,0,0,0,1,1,0,0
0.550955,0.584343,1,0,1,0,0,0,0
0.829778,0.835207,0,1,0,0,0,0,0
0.338861,0.450654,0,0,0,1,0,0,0
0.560813,0.624017,1,0,1,0,0,0,0
0.886298,0.745885,0,1,0,0,0,0,0
0.309064,0.373265,0,0,0,1,1,0,0
0.537773,0.476925,1,0,1,0,0,0,0
0.774075,0.78075,0,1,0,0,0,0,0
0.55413,0.641418,1,0,1,0,0,0,0
0.834236,0.865817,0,1,0,0,0,0,0
0.439996,0.501203,1,0,0,0,0,0,0
0.581791,0.610457,1,0,1,0,0,0,0
0.497675,0.626675,1,0,1,0,0,0,0
0.343576,0.351384,0,0,0,1,1,0,0
0.555319,0.508369,1,0,1,0,0,0,0
0.658421,0.655079,0,0,1,0,0,0,0
0.215988,0.2517,0,0,0,1,1,0,0
0.516033,0.622613,1,0,1,0,0,0,0
0.919382,0.829572,0,1,0,0,0,0,0
0.562805,0.7852,0,0,1,0,0,0,0
0.462418,0.616081,1,0,1,0,0,0,0
0.84208,0.745895,0,1,0,0,0,0,0
0.387797,0.337592,0,0,0,1,0,0,0
0.45002,0.665319,1,0,1,0,0,0,0
0.532263,0.623404,1,0,1,0,0,0,0
0.792318,0.811725,0,1,0,0,0,0,0
0.261631,0.192433,0,0,0,1,1,0,0
0.711315,0.737988,0,1,0,0,0,0,0
0.159232,0.360418,0,0,0,0,1,0,0
0.489676,0.600954,1,0,1,0,0,0,0
0.549467,0.679553,1,0,1,0,0,0,0
0.794233,0.848021,0,1,0,0,0,0,0
0.337933,0.593424,1,0,0,0,0,0,0
0.162678,0.143292,0,0,0,0,1,0,0
0.536081,0.764795,1,0,1,0,0,0,0
0.468636,0.583424,1,0,1,0,0,0,0
0.3558,0.419458,0,0,0,1,0,0,0
0.587096,0.668333,1,0,1,0,0,0,0
0.326135,0.343393,0,0,0,1,1,0,0
0.550651,0.525153,1,0,1,0,0,0,0
0.673627,0.629294,0,0,1,0,0,0,0
0.253357,0.253542,0,0,0,1,1,0,0
0.543625,0.624285,1,0,1,0,0,0,0
0.136172,0.305088,0,0,0,0,1,0,0
0.440877,0.707883,1,0,1,0,0,0,0
0.57525,0.612399,1,0,1,0,0,0,0
0.218874,0.390225,0,0,0,1,1,0,0
0.285916,0.421115,0,0,0,1,0,0,0
0.531284,0.73001,1,0,1,0,0,0,0
0.523253,0.651204,1,0,1,0,0,0,0
0.254289,0.287777,0,0,0,1,1,0,0
0.561822,0.657475,1,0,1,0,0,0,0
0.275958,0.124274,0,0,0,0,1,0,0
0.385205,0.215099,0,0,0,1,0,0,0
0.7006,0.808863,0,1,0,0,0,0,0
0.201119,0.135431,0,0,0,0,1,0,0
0.758981,0.913612,0,1,0,0,0,0,0
0.556154,0.543063,1,0,1,0,0,0,0
0.356724,0.30185,0,0,0,1,1,0,0
0.242848,0.263675,0,0,0,1,1,0,0
0.382691,0.277261,0,0,0,1,0,0,0
0.447272,0.748085,1,0,0,0,0,0,0
0.221315,0.2799,0,0,0,1,1,0,0
0.334133,0.322811,0,0,0,1,1,0,0
0.112906,0.257058,0,0,0,0,1,0,0
0.484709,0.69536,1,0,1,0,0,0,0
0.848925,0.808601,0,1,0,0,0,0,0
0.40752,0.194801,0,0,0,1,0,0,0
0.375217,0.730893,1,0,0,0,0,0,0
0.474854,0.387852,0,0,0,1,0,0,0
0.304376,0.190993,0,0,0,1,1,0,0
0.584389,0.574844,1,0,1,0,0,0,0
0.505856,0.557253,1,0,1,0,0,0,0
0.578934,0.733323,1,0,1,0,0,0,0
0.592709,0.711765,1,0,1,0,0,0,0
0.849067,0.86822,0,1,0,0,0,0,0
0.31705,0.138265,0,0,0,0,1,0,0
0.171458,0.345491,0,0,0,0,1,0,0
0.548722,0.586324,1,0,1,0,0,0,0
0.714011,0.724687,0,1,0,0,0,0,0
0.110794,0.260997,0,0,0,0,1,0,0
0.544897,0.761859,1,0,1,0,0,0,0
0.27786,0.362304,0,0,0,1,1,0,0
0.576368,0.705039,1,0,1,0,0,0,0
0.817215,0.820511,0,1,0,0,0,0,0
0.425866,0.297775,0,0,0,1,0,0,0
0.380014,0.436833,0,0,0,1,0,0,0
0.552505,0.593774,1,0,1,0,0,0,0
0.812593,0.840438,0,1,0,0,0,0,0
0.803206,0.879694,0,1,0,0,0,0,0
0.360567,0.268154,0,0,0,1,1,0,0
0.572734,0.569261,1,0,1,0,0,0,0
0.360298,0.291634,0,0,0,1,1,0,0
0.516517,0.583517,1,0,1,0,0,0,0
0.647746,0.521528,0,0,1,0,0,0,0
0.540813,0.638293,1,0,1,0,0,0,0
0.35227,0.332378,0,0,0,1,1,0,0
0.187885,0.211303,0,0,0,0,1,0,0
0.662438,0.533064,0,0,1,0,0,0,0
0.477384,0.667785,1,0,1,0,0,0,0
0.86162,0.793327,0,1,0,0,0,0,0
0.548621,0.629845,1,0,1,0,0,0,0
0.219207,0.259444,0,0,0,1,1,0,0
0.462581,0.525575,1,0,1,0,0,0,0
0.344949,0.327886,0,0,0,1,1,0,0
0.893514,0.85935,0,1,0,0,0,0,0
0.544179,0.615361,1,0,1,0,0,0,0
0.336096,0.315263,0,0,0,1,1,0,0
0.476985,0.757263,1,0,1,0,0,0,0
0.727472,0.808886,0,1,0,0,0,0,0
0.200401,0.385995,0,0,0,1,1,0,0
0.461988,0.726436,1,0,1,0,0,0,0
0.48837,0.730412,1,0,1,0,0,0,0
0.385762,0.405001,0,0,0,1,0,0,0
0.612313,0.499041,0,0,1,0,0,0,0
0.838341,0.796314,0,1,0,0,0,0,0
0.40063,0.604077,1,0,1,0,0,0,0
0.503962,0.659659,1,0,1,0,0,0,0
0.674875,0.650557,0,0,1,0,0,0,0
0.796697,0.830524,0,1,0,0,0,0,0
0.567727,0.614013,1,0,1,0,0,0,0
0.566663,0.53637,1,0,1,0,0,0,0
0.24117,0.232108,0,0,0,1,1,0,0
0.28823,0.232597,0,0,0,1,1,0,0
0.168919,0.25383,0,0,0,0,1,0,0
0.857927,0.820343,0,1,0,0,0,0,0
0.177426,0.256401,0,0,0,0,1,0,0
0.867566,0.734982,0,1,0,0,0,0,0
0.795081,0.84235,0,1,0,0,0,0,0
0.264187,0.296866,0,0,0,1,1,0,0
0.209915,0.19884,0,0,0,0,1,0,0
0.551835,0.629829,1,0,1,0,0,0,0
0.838083,0.846844,0,1,0,0,0,0,0
0.307988,0.46204,0,0,0,1,0,0,0
0.414362,0.264087,0,0,0,1,0,0,0
0.207263,0.249161,0,0,0,1,1,0,0
0.537433,0.605453,1,0,1,0,0,0,0
0.625651,0.537613,0,0,1,0,0,0,0
0.620401,0.673859,1,0,1,0,0,0,0
0.4681,0.626193,1,0,1,0,0,0,0
0.525061,0.625056,1,0,1,0,0,0,0
0.524528,0.661215,1,0,1,0,0,0,0
0.857131,0.968814,0,1,0,0,0,0,0
0.258212,0.33413,0,0,0,1,1,0,0
0.929248,0.926997,0,1,0,0,0,0,0
0.547104,0.639192,1,0,1,0,0,0,0
0.87485,0.783316,0,1,0,0,0,0,0
0.697181,0.920459,0,1,0,0,0,0,0
0.259348,0.190256,0,0,0,1,1,0,0
0.268805,0.26587,0,0,0,1,1,0,0
0.5373,0.572696,1,0,1,0,0,0,0
0.400175,0.326517,0,0,0,1,0,0,0
0.472483,0.567345,1,0,1,0,0,0,0
0.388683,0.265107,0,0,0,1,0,0,0
0.511474,0.577295,1,0,1,0,0,0,0
0.562878,0.496047,1,0,1,0,0,0,0
0.536222,0.60234,1,0,1,0,0,0,0
0.485775,0.720326,1,0,1,0,0,0,0
0.436852,0.572165,1,0,1,0,0,0,0
0.122098,0.328355,0,0,0,0,1,0,0
0.357786,0.335153,0,0,0,1,1,0,0
0.269629,0.248428,0,0,0,1,1,0,0
0.342657,0.363472,0,0,0,1,0,0,0
0.599993,0.567668,1,0,1,0,0,0,0
0.567957,0.586823,1,0,1,0,0,0,0
0.326984,0.176606,0,0,0,1,1,0,0
0.821169,0.937297,0,1,0,0,0,0,0
0.512188,0.637007,1,0,1,0,0,0,0
0.356578,0.401715,0,0,0,1,0,0,0
0.898841,0.93485,0,1,0,0,0,0,0
0.476167,0.654573,1,0,1,0,0,0,0
0.35297,0.58458,1,0,0,0,0,0,0
0.365093,0.679058,1,0,0,0,0,0,0
0.368516,0.297954,0,0,0,1,1,0,0
0.541177,0.673566,1,0,1,0,0,0,0
0.563148,0.652135,1,0,1,0,0,0,0
0.264234,0.316157,0,0,0,1,1,0,0
0.24286,0.185596,0,0,0,0,1,0,0
0.90422,0.803832,0,1,0,0,0,0,0
0.369086,0.584017,1,0,0,0,0,0,0
0.589142,0.632454,1,0,1,0,0,0,0
0.686757,0.844185,0,1,0,0,0,0,0
0.764502,0.966455,0,1,0,0,0,0,0
0.301193,0.270048,0,0,0,1,1,0,0
0.361215,0.318829,0,0,0,1,1,0,0
0.532352,0.741267,1,0,1,0,0,0,0
0.536237,0.777411,1,0,1,0,0,0,0
0.80496,0.835417,0,1,0,0,0,0,0
0.331325,0.331337,0,0,0,1,1,0,0
0.296583,0.305789,0,0,0,1,1,0,0
0.462804,0.600263,1,0,1,0,0,0,0
0.664803,0.514343,0,0,1,0,0,0,0
0.238405,0.365179,0,0,0,1,1,0,0
0.528563,0.651773,1,0,1,0,0,0,0
0.459789,0.676995,1,0,1,0,0,0,0
0.674369,0.663433,0,0,1,0,0,0,0
0.505183,0.678819,1,0,1,0,0,0,0
0.455438,0.267599,0,0,0,1,0,0,0
0.569726,0.681774,1,0,1,0,0,0,0
0.559366,0.587143,1,0,1,0,0,0,0
0.143324,0.2805,0,0,0,0,1,0,0
0.422652,0.587862,1,0,1,0,0,0,0
0.812121,0.817344,0,1,0,0,0,0,0
0.231529,0.269592,0,0,0,1,1,0,0
0.302171,0.206951,0,0,0,1,1,0,0
0.606817,0.519015,1,0,1,0,0,0,0
0.763035,0.78178,0,1,0,0,0,0,0
0.524055,0.693602,1,0,1,0,0,0,0
0.444276,0.299778,0,0,0,1,0,0,0
0.863851,0.715989,0,1,0,0,0,0,0
0.65489,0.572613,0,0,1,0,0,0,0
0.386023,0.417139,0,0,0,1,0,0,0
0.287012,0.266662,0,0,0,1,1,0,0
0.46818,0.375351,0,0,0,1,0,0,0
0.556253,0.537449,1,0,1,0,0,0,0
0.218843,0.261293,0,0,0,1,1,0,0
0.358893,0.259503,0,0,0,1,1,0,0
0.190102,0.259764,0,0,0,0,1,0,0
0.320632,0.382911,0,0,0,1,0,0,0
0.564042,0.602393,1,0,1,0,0,0,0
0.433429,0.541304,1,0,1,0,0,0,0
0.238339,0.299029,0,0,0,1,1,0,0
0.392017,0.30653,0,0,0,1,0,0,0
0.733286,0.897599,0,1,0,0,0,0,0
0.196284,0.266285,0,0,0,1,1,0,0
0.568713,0.694407,1,0,1,0,0,0,0
0.448912,0.679025,1,0,1,0,0,0,0
0.322222,0.331468,0,0,0,1,1,0,0
0.499966,0.656161,1,0,1,0,0,0,0
0.932599,0.834173,0,1,0,0,0,0,0
0.914492,0.856046,0,1,0,0,0,0,0
0.466289,0.366542,0,0,0,1,0,0,0
0.606046,0.664196,1,0,1,0,0,0,0
0.544697,0.568735,1,0,1,0,0,0,0
0.610647,0.480699,0,0,1,0,0,0,0
0.25258,0.263327,0,0,0,1,1,0,0
0.814339,0.778668,0,1,0,0,0,0,0
0.484132,0.655118,1,0,1,0,0,0,0
0.2614,0.272617,0,0,0,1,1,0,0
0.485957,0.642527,1,0,1,0,0,0,0
0.243123,0.276932,0,0,0,1,1,0,0
0.384576,0.403018,0,0,0,1,0,0,0
0.162192,0.294134,0,0,0,0,1,0,0
0.59245,0.632267,1,0,1,0,0,0,0
0.164933,0.307479,0,0,0,0,1,0,0
0.502333,0.589594,1,0,1,0,0,0,0
0.520387,0.647387,1,0,1,0,0,0,0
0.0867,0.192233,0,0,0,0,1,0,0
0.092122,0.304141,0,0,0,0,1,0,0
0.35517,0.20249,0,0,0,1,1,0,0
0.210283,0.282998,0,0,0,1,1,0,0
0.86304,0.771185,0,1,0,0,0,0,0
0.518377,0.632179,1,0,1,0,0,0,0
0.397593,0.614883,1,0,0,0,0,0,0
0.315491,0.381929,0,0,0,1,1,0,0
0.405349,0.703966,1,0,0,0,0,0,0
0.241218,0.293514,0,0,0,1,1,0,0
0.199734,0.261084,0,0,0,1,1,0,0
0.534228,0.612527,1,0,1,0,0,0,0
0.769059,0.93913,0,1,0,0,0,0,0
0.23827,0.201143,0,0,0,0,1,0,0
0.226367,0.26425,0,0,0,1,1,0,0
0.386346,0.410495,0,0,0,1,0,0,0
0.752726,0.815431,0,1,0,0,0,0,0
0.489642,0.625711,1,0,1,0,0,0,0
0.626217,0.645824,1,0,1,0,0,0,0
0.489494,0.626423,1,0,1,0,0,0,0
0.659503,0.673284,0,0,1,0,0,0,0
0.342347,0.324501,0,0,0,1,1,0,0
0.238964,0.233746,0,0,0,1,1,0,0
0.596691,0.683979,1,0,1,0,0,0,0
0.594214,0.663829,1,0,1,0,0,0,0
0.150131,0.36891,0,0,0,0,1,0,0
0.542752,0.608665,1,0,1,0,0,0,0
0.76974,0.69569,0,1,0,0,0,0,0
0.626879,0.529487,0,0,1,0,0,0,0
0.224835,0.334825,0,0,0,1,1,0,0
0.549499,0.769808,1,0,1,0,0,0,0
0.202219,0.297321,0,0,0,1,1,0,0
0.537025,0.537441,1,0,1,0,0,0,0
0.535749,0.622434,1,0,1,0,0,0,0
0.479104,0.646444,1,0,1,0,0,0,0
0.173947,0.350454,0,0,0,0,1,0,0
0.806044,0.830559,0,1,0,0,0,0,0
0.385163,0.560686,1,0,0,0,0,0,0
0.431862,0.534948,1,0,1,0,0,0,0
0.189883,0.358725,0,0,0,1,1,0,0
0.723171,0.708221,0,1,0,0,0,0,0
0.35541,0.195502,0,0,0,1,1,0,0
0.776868,0.983435,0,1,0,0,0,0,0
0.170354,0.303602,0,0,0,0,1,0,0
0.367324,0.357841,0,0,0,1,0,0,0
0.186376,0.34826,0,0,0,1,1,0,0
0.388016,0.587295,1,0,0,0,0,0,0
0.113026,0.33971,0,0,0,0,1,0,0
